               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,             0.10061,            0.034948,           0.0069175,            0.098454,             0.29412,             0.11087,            0.018769,            0.093668,            0.022945,           0.0056167,            0.028595,           0.0065954,           0.0065954
                  79,             0.09093,            0.024098,           0.0073765,            0.098454,             0.29412,             0.11087,            0.018769,            0.093668,            0.022945,           0.0056167,            0.027664,           0.0066643,           0.0066643
                  80,            0.094322,             0.02824,           0.0062803,             0.18101,             0.29412,              0.1445,            0.022699,            0.094326,            0.022248,           0.0050385,            0.026733,           0.0067328,           0.0067328
                  81,            0.096743,            0.031176,           0.0071413,             0.18101,             0.29412,              0.1445,            0.022699,            0.094326,            0.022248,           0.0050385,            0.025801,           0.0068009,           0.0068009
                  82,            0.087811,            0.031456,           0.0064151,             0.18101,             0.29412,              0.1445,            0.022699,            0.094326,            0.022248,           0.0050385,            0.024869,           0.0068686,           0.0068686
                  83,            0.089006,              0.0329,           0.0072668,             0.28295,             0.35294,              0.1682,            0.047574,            0.089586,            0.022804,           0.0047184,            0.023936,            0.006936,            0.006936
                  84,            0.082881,            0.023272,           0.0083312,             0.28295,             0.35294,              0.1682,            0.047574,            0.089586,            0.022804,           0.0047184,            0.023003,           0.0070029,           0.0070029
                  85,            0.085935,            0.035045,           0.0070872,             0.28295,             0.35294,              0.1682,            0.047574,            0.089586,            0.022804,           0.0047184,            0.022069,           0.0070694,           0.0070694
                  86,            0.086744,            0.037323,           0.0061862,             0.28295,             0.35294,              0.1682,            0.047574,            0.089586,            0.022804,           0.0047184,            0.021136,           0.0071356,           0.0071356
                  87,            0.091693,             0.03229,           0.0066529,              0.1425,             0.29412,             0.14581,            0.031242,            0.090184,            0.022814,           0.0043084,            0.020201,           0.0072013,           0.0072013
                  88,            0.086906,            0.028781,            0.007498,              0.1425,             0.29412,             0.14581,            0.031242,            0.090184,            0.022814,           0.0043084,            0.019267,           0.0072667,           0.0072667
                  89,            0.085807,            0.026691,           0.0062147,              0.1425,             0.29412,             0.14581,            0.031242,            0.090184,            0.022814,           0.0043084,            0.018332,           0.0073316,           0.0073316
                  90,            0.088749,            0.026306,           0.0072786,              0.1425,             0.29412,             0.14581,            0.031242,            0.090184,            0.022814,           0.0043084,            0.017396,           0.0073962,           0.0073962
                  91,             0.08201,              0.0266,           0.0057718,             0.24461,             0.35294,             0.34495,            0.094928,            0.083841,             0.02333,           0.0039143,             0.01646,           0.0074604,           0.0074604
                  92,            0.091795,            0.046642,           0.0072073,             0.24461,             0.35294,             0.34495,            0.094928,            0.083841,             0.02333,           0.0039143,            0.015524,           0.0075241,           0.0075241
                  93,            0.085865,            0.024736,           0.0044423,             0.24461,             0.35294,             0.34495,            0.094928,            0.083841,             0.02333,           0.0039143,            0.014587,           0.0075875,           0.0075875
                  94,            0.082616,            0.026894,           0.0055336,             0.24461,             0.35294,             0.34495,            0.094928,            0.083841,             0.02333,           0.0039143,             0.01365,           0.0076505,           0.0076505
                  95,            0.089104,            0.018438,           0.0066813,              0.2021,             0.47059,             0.19085,            0.061407,            0.085931,            0.022807,           0.0034311,            0.012713,           0.0077131,           0.0077131
                  96,            0.085655,            0.016485,           0.0039797,              0.2021,             0.47059,             0.19085,            0.061407,            0.085931,            0.022807,           0.0034311,            0.011775,           0.0077752,           0.0077752
                  97,             0.08575,            0.036269,           0.0052604,              0.2021,             0.47059,             0.19085,            0.061407,            0.085931,            0.022807,           0.0034311,            0.010837,            0.007837,            0.007837
                  98,            0.088268,            0.037391,           0.0055077,              0.2021,             0.47059,             0.19085,            0.061407,            0.085931,            0.022807,           0.0034311,           0.0098984,           0.0078984,           0.0078984
                  99,            0.089929,            0.041173,            0.005338,             0.17298,             0.35294,             0.16569,            0.051373,             0.09062,            0.021715,           0.0030996,           0.0089594,           0.0079594,           0.0079594
                 100,            0.081319,            0.027931,           0.0053867,             0.17298,             0.35294,             0.16569,            0.051373,             0.09062,            0.021715,           0.0030996,             0.00802,             0.00802,             0.00802
                 101,            0.082917,             0.03737,           0.0054458,             0.17298,             0.35294,             0.16569,            0.051373,             0.09062,            0.021715,           0.0030996,             0.00802,             0.00802,             0.00802
                 102,            0.083499,            0.027161,           0.0049576,             0.17298,             0.35294,             0.16569,            0.051373,             0.09062,            0.021715,           0.0030996,           0.0080002,           0.0080002,           0.0080002
                 103,            0.082988,            0.021892,           0.0047891,             0.15932,             0.41176,             0.16172,            0.048936,            0.086161,            0.021853,           0.0028199,           0.0079804,           0.0079804,           0.0079804
                 104,            0.081541,             0.01683,           0.0039079,             0.15932,             0.41176,             0.16172,            0.048936,            0.086161,            0.021853,           0.0028199,           0.0079606,           0.0079606,           0.0079606
                 105,            0.089972,            0.023579,           0.0045823,             0.15932,             0.41176,             0.16172,            0.048936,            0.086161,            0.021853,           0.0028199,           0.0079408,           0.0079408,           0.0079408
                 106,            0.090072,            0.034208,           0.0049889,             0.15932,             0.41176,             0.16172,            0.048936,            0.086161,            0.021853,           0.0028199,            0.007921,            0.007921,            0.007921
                 107,            0.085595,            0.020798,           0.0036829,              0.1074,             0.29412,            0.087564,             0.03366,               0.088,            0.021314,           0.0025508,           0.0079012,           0.0079012,           0.0079012
                 108,            0.091326,            0.025425,           0.0038234,              0.1074,             0.29412,            0.087564,             0.03366,               0.088,            0.021314,           0.0025508,           0.0078814,           0.0078814,           0.0078814
                 109,            0.088828,            0.037853,            0.004303,              0.1074,             0.29412,            0.087564,             0.03366,               0.088,            0.021314,           0.0025508,           0.0078616,           0.0078616,           0.0078616
                 110,            0.086198,            0.024386,           0.0036286,              0.1074,             0.29412,            0.087564,             0.03366,               0.088,            0.021314,           0.0025508,           0.0078418,           0.0078418,           0.0078418
                 111,            0.090488,            0.020953,           0.0029107,             0.34725,             0.47059,             0.27392,             0.11388,            0.077952,            0.021409,           0.0023342,            0.007822,            0.007822,            0.007822
                 112,             0.07578,            0.030726,           0.0041116,             0.34725,             0.47059,             0.27392,             0.11388,            0.077952,            0.021409,           0.0023342,           0.0078022,           0.0078022,           0.0078022
                 113,            0.078562,            0.037644,           0.0038492,             0.34725,             0.47059,             0.27392,             0.11388,            0.077952,            0.021409,           0.0023342,           0.0077824,           0.0077824,           0.0077824
                 114,            0.075103,            0.027897,           0.0050122,             0.34725,             0.47059,             0.27392,             0.11388,            0.077952,            0.021409,           0.0023342,           0.0077626,           0.0077626,           0.0077626
                 115,            0.079834,            0.035154,           0.0056919,             0.28696,             0.41176,             0.25925,            0.067711,            0.081918,            0.020105,           0.0021759,           0.0077428,           0.0077428,           0.0077428
                 116,            0.074468,            0.021376,           0.0033626,             0.28696,             0.41176,             0.25925,            0.067711,            0.081918,            0.020105,           0.0021759,            0.007723,            0.007723,            0.007723
                 117,             0.06955,            0.026713,            0.003758,             0.28696,             0.41176,             0.25925,            0.067711,            0.081918,            0.020105,           0.0021759,           0.0077032,           0.0077032,           0.0077032
                 118,            0.079585,            0.021585,           0.0037153,             0.28696,             0.41176,             0.25925,            0.067711,            0.081918,            0.020105,           0.0021759,           0.0076834,           0.0076834,           0.0076834
                 119,            0.084034,            0.039889,           0.0044796,             0.28848,             0.29412,              0.2368,            0.053631,             0.08752,            0.018914,           0.0020707,           0.0076636,           0.0076636,           0.0076636
