               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,             0.10633,            0.018389,           0.0049147,            0.012496,             0.40625,            0.019494,           0.0049069,             0.10936,            0.014151,           0.0036705,            0.058181,            0.004181,            0.004181
                  47,             0.10096,            0.013133,           0.0061963,            0.012496,             0.40625,            0.019494,           0.0049069,             0.10936,            0.014151,           0.0036705,            0.057263,           0.0042626,           0.0042626
                  48,             0.10312,            0.018301,           0.0053713,            0.035032,               0.375,            0.045881,           0.0087638,            0.098041,             0.01507,           0.0037617,            0.056344,           0.0043438,           0.0043438
                  49,            0.090562,            0.013343,           0.0046107,            0.035032,               0.375,            0.045881,           0.0087638,            0.098041,             0.01507,           0.0037617,            0.055425,           0.0044246,           0.0044246
                  50,             0.09004,            0.022179,           0.0056892,            0.064578,             0.34375,            0.072479,            0.019293,            0.098789,            0.015065,           0.0036345,            0.054505,            0.004505,            0.004505
                  51,            0.097698,            0.015654,           0.0055301,            0.064578,             0.34375,            0.072479,            0.019293,            0.098789,            0.015065,           0.0036345,            0.053585,            0.004585,            0.004585
                  52,            0.093555,            0.022642,           0.0044994,            0.064578,             0.34375,            0.072479,            0.019293,            0.098789,            0.015065,           0.0036345,            0.052665,           0.0046646,           0.0046646
                  53,             0.10083,             0.01892,            0.004675,             0.12913,             0.28125,            0.086889,            0.015414,            0.098239,            0.015136,           0.0038905,            0.051744,           0.0047438,           0.0047438
                  54,            0.092751,            0.019839,           0.0043098,             0.12913,             0.28125,            0.086889,            0.015414,            0.098239,            0.015136,           0.0038905,            0.050823,           0.0048226,           0.0048226
                  55,            0.093769,             0.01791,           0.0046807,             0.12913,             0.28125,            0.086889,            0.015414,            0.098239,            0.015136,           0.0038905,            0.049901,           0.0049011,           0.0049011
                  56,            0.093228,            0.018873,           0.0047404,            0.029548,             0.46875,             0.08233,            0.014855,            0.090836,            0.015791,           0.0037939,            0.048979,           0.0049791,           0.0049791
                  57,            0.091343,            0.019821,           0.0047586,            0.029548,             0.46875,             0.08233,            0.014855,            0.090836,            0.015791,           0.0037939,            0.048057,           0.0050567,           0.0050567
                  58,            0.084614,            0.015518,           0.0057614,            0.029548,             0.46875,             0.08233,            0.014855,            0.090836,            0.015791,           0.0037939,            0.047134,           0.0051339,           0.0051339
                  59,            0.090246,            0.015746,           0.0042431,            0.012476,              0.4375,            0.026333,           0.0089592,            0.090033,            0.015118,           0.0038296,            0.046211,           0.0052108,           0.0052108
                  60,            0.091564,            0.023416,           0.0044038,            0.012476,              0.4375,            0.026333,           0.0089592,            0.090033,            0.015118,           0.0038296,            0.045287,           0.0052872,           0.0052872
                  61,            0.089111,            0.013756,           0.0041204,            0.012476,              0.4375,            0.026333,           0.0089592,            0.090033,            0.015118,           0.0038296,            0.044363,           0.0053632,           0.0053632
                  62,            0.087026,            0.024002,           0.0046446,             0.18243,             0.15625,             0.08313,            0.020609,            0.085266,            0.015342,           0.0037476,            0.043439,           0.0054389,           0.0054389
                  63,            0.079219,            0.017753,           0.0041209,             0.18243,             0.15625,             0.08313,            0.020609,            0.085266,            0.015342,           0.0037476,            0.042514,           0.0055141,           0.0055141
                  64,            0.083411,            0.020611,           0.0054586,             0.18243,             0.15625,             0.08313,            0.020609,            0.085266,            0.015342,           0.0037476,            0.041589,            0.005589,            0.005589
                  65,            0.083521,            0.021903,           0.0043411,            0.043717,             0.40625,             0.04976,            0.009867,            0.094393,            0.014692,           0.0031278,            0.040663,           0.0056635,           0.0056635
                  66,            0.088535,            0.023558,           0.0042106,            0.043717,             0.40625,             0.04976,            0.009867,            0.094393,            0.014692,           0.0031278,            0.039738,           0.0057375,           0.0057375
                  67,             0.08935,            0.018429,           0.0044041,            0.043717,             0.40625,             0.04976,            0.009867,            0.094393,            0.014692,           0.0031278,            0.038811,           0.0058112,           0.0058112
                  68,            0.087224,            0.019078,           0.0046089,             0.18966,             0.21875,             0.12587,             0.03504,            0.086992,            0.014289,            0.003185,            0.037884,           0.0058844,           0.0058844
                  69,            0.083383,            0.023831,            0.004391,             0.18966,             0.21875,             0.12587,             0.03504,            0.086992,            0.014289,            0.003185,            0.036957,           0.0059573,           0.0059573
                  70,            0.080586,              0.0174,           0.0040796,             0.18966,             0.21875,             0.12587,             0.03504,            0.086992,            0.014289,            0.003185,             0.03603,           0.0060298,           0.0060298
                  71,            0.082197,            0.019653,           0.0040825,             0.11878,             0.33285,             0.08384,            0.024168,            0.090738,            0.013211,           0.0027356,            0.035102,           0.0061019,           0.0061019
                  72,            0.085335,            0.014629,           0.0047945,             0.11878,             0.33285,             0.08384,            0.024168,            0.090738,            0.013211,           0.0027356,            0.034174,           0.0061736,           0.0061736
                  73,            0.092093,            0.019866,           0.0033715,             0.11878,             0.33285,             0.08384,            0.024168,            0.090738,            0.013211,           0.0027356,            0.033245,           0.0062449,           0.0062449
                  74,            0.086332,            0.017803,           0.0051365,             0.27217,               0.125,             0.17789,            0.039238,            0.085933,            0.013023,           0.0026859,            0.032316,           0.0063158,           0.0063158
